HGNC ID	Approved Symbol	Approved Name	Entrez Gene ID	Entrez Gene ID(supplied by NCBI)	Ensembl ID(supplied by Ensembl)
HGNC:3008	DPP3	dipeptidyl peptidase 3	10072	10072	ENSG00000254986
HGNC:51349	DPP3P1	dipeptidyl peptidase 3 pseudogene 1	391657	391657	ENSG00000250768
HGNC:51350	DPP3P2	dipeptidyl peptidase 3 pseudogene 2	138971	138971	ENSG00000221844
HGNC:3009	DPP4	dipeptidyl peptidase 4	1803	1803	ENSG00000197635
HGNC:3010	DPP6	dipeptidyl peptidase like 6	1804	1804	ENSG00000130226
HGNC:14892	DPP7	dipeptidyl peptidase 7	29952	29952	ENSG00000176978
HGNC:16490	DPP8	dipeptidyl peptidase 8	54878	54878	ENSG00000074603
HGNC:18648	DPP9	dipeptidyl peptidase 9	91039	91039	ENSG00000142002
HGNC:50706	DPP9-AS1	DPP9 antisense RNA 1	100131094	100131094	ENSG00000205790
HGNC:20823	DPP10	dipeptidyl peptidase like 10	57628	57628	ENSG00000175497
HGNC:40941	DPP10-AS1	DPP10 antisense RNA 1	389023	389023	ENSG00000235026
HGNC:40940	DPP10-AS2	DPP10 antisense RNA 2		106478969	ENSG00000235717
HGNC:40939	DPP10-AS3	DPP10 antisense RNA 3	101927591	101927591	ENSG00000231538
HGNC:19197	DPPA2	developmental pluripotency associated 2	151871	151871	ENSG00000163530
HGNC:38448	DPPA2P1	developmental pluripotency associated 2 pseudogene 1	100421137	100421137	ENSG00000223915
HGNC:44627	DPPA2P2	developmental pluripotency associated 2 pseudogene 2	100128503	100128503	ENSG00000224129
HGNC:44628	DPPA2P3	developmental pluripotency associated 2 pseudogene 3	100128023	100128023	ENSG00000224403
HGNC:44629	DPPA2P4	developmental pluripotency associated 2 pseudogene 4	100131777	100131777	ENSG00000261429
HGNC:19199	DPPA3	developmental pluripotency associated 3	359787	359787	ENSG00000187569
HGNC:32345	DPPA3P1	developmental pluripotency associated 3 pseudogene 1	728493	728493	ENSG00000227067
HGNC:20417	DPPA3P2	developmental pluripotency associated 3 pseudogene 2	400206	400206	ENSG00000188831
HGNC:49062	DPPA3P3	developmental pluripotency associated 3 pseudogene 3		106481963	ENSG00000270415
HGNC:19200	DPPA4	developmental pluripotency associated 4	55211	55211	ENSG00000121570
HGNC:44903	DPPA4P1	developmental pluripotency associated 4 pseudogene 1	100421156	100421156	
HGNC:19201	DPPA5	developmental pluripotency associated 5	340168	340168	ENSG00000203909
HGNC:43752	DPPA5P1	developmental pluripotency associated 5 pseudogene 1	646382	646382	ENSG00000269776
HGNC:43754	DPPA5P2	developmental pluripotency associated 5 pseudogene 2	100874380	100874380	ENSG00000259427
HGNC:44688	DPPA5P3	developmental pluripotency associated 5 pseudogene 3	100528006	100528006	
HGNC:49665	DPPA5P4	developmental pluripotency associated 5 pseudogene 4	646701	646701	ENSG00000119660
HGNC:32166	DPRX	divergent-paired related homeobox	503834	503834	ENSG00000204595
HGNC:32167	DPRXP1	divergent-paired related homeobox pseudogene 1	503641	503641	ENSG00000224323
HGNC:32168	DPRXP2	divergent-paired related homeobox pseudogene 2	503643	503643	ENSG00000271304
HGNC:32169	DPRXP3	divergent-paired related homeobox pseudogene 3	503644	503644	ENSG00000282308
HGNC:32170	DPRXP4	divergent-paired related homeobox pseudogene 4	503645	503645	ENSG00000264743
HGNC:32171	DPRXP5	divergent-paired related homeobox pseudogene 5	503646	503646	ENSG00000270652
HGNC:32172	DPRXP6	divergent-paired related homeobox pseudogene 6	503647	503647	ENSG00000270791
HGNC:32173	DPRXP7	divergent-paired related homeobox pseudogene 7	503648	503648	ENSG00000271464
HGNC:3011	DPT	dermatopontin	1805	1805	ENSG00000143196
HGNC:22205	DPY19L1	dpy-19 like C-mannosyltransferase 1	23333	23333	ENSG00000173852
HGNC:22395	DPY19L1P1	DPY19L1 pseudogene 1	100129460	100129460	ENSG00000229358
HGNC:22851	DPY19L1P2	DPY19L1 pseudogene 2	102724668	102724668	ENSG00000231952
HGNC:19414	DPY19L2	dpy-19 like 2	283417	283417	ENSG00000177990
HGNC:22305	DPY19L2P1	DPY19L2 pseudogene 1	554236	554236	ENSG00000189212
HGNC:21764	DPY19L2P2	DPY19L2 pseudogene 2	349152	349152	ENSG00000170629
HGNC:22367	DPY19L2P3	DPY19L2 pseudogene 3	442524	442524	ENSG00000227855
HGNC:22176	DPY19L2P4	DPY19L2 pseudogene 4	442523	442523	ENSG00000235436
HGNC:51620	DPY19L2P5	DPY19L2 pseudogene 5		106480421	ENSG00000225100
HGNC:27120	DPY19L3	dpy-19 like C-mannosyltransferase 3	147991	147991	ENSG00000178904
HGNC:27829	DPY19L4	dpy-19 like 4	286148	286148	ENSG00000156162
HGNC:53907	DPY19L4P1	DPY19L4 pseudogene 1	100131533	100131533	
HGNC:53908	DPY19L4P2	DPY19L4 pseudogene 2	100420073	100420073	
HGNC:24590	DPY30	dpy-30, histone methyltransferase complex regulatory subunit	84661	84661	ENSG00000162961
HGNC:3012	DPYD	dihydropyrimidine dehydrogenase	1806	1806	ENSG00000188641
HGNC:40195	DPYD-AS1	DPYD antisense RNA 1		100873932	ENSG00000232878
HGNC:40196	DPYD-AS2	DPYD antisense RNA 2	100873933	100873933	ENSG00000235777
HGNC:41326	DPYD-IT1	DPYD intronic transcript 1		100874267	ENSG00000232542
HGNC:3013	DPYS	dihydropyrimidinase	1807	1807	ENSG00000147647
HGNC:3014	DPYSL2	dihydropyrimidinase like 2	1808	1808	ENSG00000092964
HGNC:3015	DPYSL3	dihydropyrimidinase like 3	1809	1809	ENSG00000113657
HGNC:3016	DPYSL4	dihydropyrimidinase like 4	10570	10570	ENSG00000151640
HGNC:20637	DPYSL5	dihydropyrimidinase like 5	56896	56896	ENSG00000157851
HGNC:20410	DQX1	DEAQ-box RNA dependent ATPase 1	165545	165545	ENSG00000144045
HGNC:3017	DR1	down-regulator of transcription 1	1810	1810	ENSG00000117505
HGNC:14363	DRA~withdrawn	symbol withdrawn, see SLC26A3			
HGNC:27082	DRAIC	downregulated RNA in cancer, inhibitor of cell invasion and migration	145837	145837	ENSG00000245750
HGNC:25645	DRAM1	DNA damage regulated autophagy modulator 1	55332	55332	ENSG00000136048
HGNC:28769	DRAM2	DNA damage regulated autophagy modulator 2	128338	128338	ENSG00000156171
HGNC:3019	DRAP1	DR1 associated protein 1	10589	10589	ENSG00000175550
HGNC:25054	DRAXIN	dorsal inhibitory axon guidance protein	374946	374946	ENSG00000162490
HGNC:44334	DRAXINP1	dorsal inhibitory axon guidance protein pseudogene 1	100128801	100128801	ENSG00000225574
HGNC:24245	DRC1	dynein regulatory complex subunit 1	92749	92749	ENSG00000157856
HGNC:25384	DRC3	dynein regulatory complex subunit 3	83450	83450	ENSG00000171962
HGNC:25289	DRC7	dynein regulatory complex subunit 7	84229	84229	ENSG00000159625
HGNC:14564	DRCC1~withdrawn	symbol withdrawn, see MUC13			
HGNC:3020	DRD1	dopamine receptor D1	1812	1812	ENSG00000184845
HGNC:3021	DRD1L1~withdrawn	entry withdrawn			
HGNC:3022	DRD1L2~withdrawn	symbol withdrawn, see DRD5			
HGNC:3023	DRD2	dopamine receptor D2	1813	1813	ENSG00000149295
HGNC:3024	DRD3	dopamine receptor D3	1814	1814	ENSG00000151577
HGNC:3025	DRD4	dopamine receptor D4	1815	1815	ENSG00000069696
HGNC:3026	DRD5	dopamine receptor D5		1816	ENSG00000169676
HGNC:3027	DRD5P1	dopamine receptor D5 pseudogene 1	1817	1817	ENSG00000184303
HGNC:3028	DRD5P2	dopamine receptor D5 pseudogene 2	1818	1818	ENSG00000175658
HGNC:3029	DRG1	developmentally regulated GTP binding protein 1	4733	4733	ENSG00000185721
HGNC:3030	DRG2	developmentally regulated GTP binding protein 2	1819	1819	ENSG00000108591
HGNC:21536	DRGX	dorsal root ganglia homeobox	644168	644168	ENSG00000165606
HGNC:28031	DRICH1	aspartate rich 1	51233	51233	ENSG00000189269
HGNC:17904	DROSHA	drosha ribonuclease III	29102	29102	ENSG00000113360
HGNC:3032	DRP2	dystrophin related protein 2	1821	1821	ENSG00000102385
HGNC:3034	DRT~withdrawn	symbol withdrawn, see EPHB2			
HGNC:3035	DSC1	desmocollin 1	1823	1823	ENSG00000134765
HGNC:3036	DSC2	desmocollin 2	1824	1824	ENSG00000134755
HGNC:3037	DSC3	desmocollin 3	1825	1825	ENSG00000134762
HGNC:3038	DSC4~withdrawn	symbol withdrawn, see DSC3			
HGNC:3039	DSCAM	DS cell adhesion molecule	1826	1826	ENSG00000171587
HGNC:40197	DSCAM-AS1	DSCAM antisense RNA 1	100506492	100506492	ENSG00000235123
HGNC:41327	DSCAM-IT1	DSCAM intronic transcript 1		100874326	ENSG00000233756
HGNC:14656	DSCAML1	DS cell adhesion molecule like 1	57453	57453	ENSG00000177103
HGNC:51116	DSCAS	DSC1/DSC2 antisense RNA	101927698	101927698	ENSG00000265888
HGNC:24453	DSCC1	DNA replication and sister chromatid cohesion 1	79075	79075	ENSG00000136982
HGNC:3045	DSCR4	Down syndrome critical region 4	10281	10281	ENSG00000184029
HGNC:41328	DSCR4-IT1	DSCR4 intronic transcript 1		100874327	ENSG00000223608
HGNC:16707	DSCR8	Down syndrome critical region 8	84677	84677	ENSG00000198054
HGNC:16301	DSCR9	Down syndrome critical region 9	257203	257203	ENSG00000230366
HGNC:16302	DSCR10	Down syndrome critical region 10	259234	259234	ENSG00000233316
HGNC:21144	DSE	dermatan sulfate epimerase	29940	29940	ENSG00000111817
HGNC:18144	DSEL	dermatan sulfate epimerase like	92126	92126	ENSG00000171451
HGNC:3048	DSG1	desmoglein 1	1828	1828	ENSG00000134760
HGNC:51115	DSG1-AS1	DSG1 antisense RNA 1	101927718	101927718	ENSG00000266729
HGNC:3049	DSG2	desmoglein 2	1829	1829	ENSG00000046604
HGNC:51311	DSG2-AS1	DSG2 antisense RNA 1	100652770	100652770	ENSG00000264859
HGNC:3050	DSG3	desmoglein 3	1830	1830	ENSG00000134757
HGNC:21307	DSG4	desmoglein 4	147409	147409	ENSG00000175065
HGNC:16165	DSN1	DSN1 homolog, MIS12 kinetochore complex component	79980	79980	ENSG00000149636
HGNC:3052	DSP	desmoplakin	1832	1832	ENSG00000096696
HGNC:3054	DSPP	dentin sialophosphoprotein	1834	1834	ENSG00000152591
HGNC:3055	DSS~withdrawn	symbol withdrawn, see NR0B1			
HGNC:1090	DST	dystonin	667	667	ENSG00000151914
HGNC:15750	DSTN	destrin, actin depolymerizing factor	11034	11034	ENSG00000125868
HGNC:23769	DSTNP1	destrin, actin depolymerizing factor pseudogene 1	387492	387492	ENSG00000230982
HGNC:34546	DSTNP2	destrin, actin depolymerizing factor pseudogene 2	171220	171220	ENSG00000248593
HGNC:34547	DSTNP3	destrin, actin depolymerizing factor pseudogene 3	100287016	100287016	
HGNC:44548	DSTNP4	destrin, actin depolymerizing factor pseudogene 4	729454	729454	ENSG00000215034
HGNC:44549	DSTNP5	destrin, actin depolymerizing factor pseudogene 5	100132132	100132132	ENSG00000236681
HGNC:29043	DSTYK	dual serine/threonine and tyrosine protein kinase	25778	25778	ENSG00000133059
HGNC:3056	DTD~withdrawn	symbol withdrawn, see SLC26A2			
HGNC:16219	DTD1	D-tyrosyl-tRNA deacylase 1	92675	92675	ENSG00000125821
HGNC:20277	DTD2	D-tyrosyl-tRNA deacylase 2 (putative)	112487	112487	ENSG00000129480
HGNC:37261	DTHD1	death domain containing 1	401124	401124	ENSG00000197057
HGNC:30288	DTL	denticleless E3 ubiquitin protein ligase homolog	51514	51514	ENSG00000143476
HGNC:3057	DTNA	dystrobrevin alpha	1837	1837	ENSG00000134769
HGNC:3058	DTNB	dystrobrevin beta	1838	1838	ENSG00000138101
HGNC:17328	DTNBP1	dystrobrevin binding protein 1	84062	84062	ENSG00000047579
HGNC:30926	DTWD1	DTW domain containing 1	56986	56986	ENSG00000104047
HGNC:19334	DTWD2	DTW domain containing 2	285605	285605	ENSG00000169570
HGNC:3060	DTX1	deltex E3 ubiquitin ligase 1	1840	1840	ENSG00000135144
HGNC:15973	DTX2	deltex E3 ubiquitin ligase 2	113878	113878	ENSG00000091073
HGNC:42352	DTX2P1	DTX2 pseudogene 1		107161144	ENSG00000186704
HGNC:42360	DTX2P1-UPK3BP1-PMS2P11	DTX2P1-UPK3BP1-PMS2P11 readthrough, transcribed pseudogene	441263	441263	ENSG00000265479
HGNC:24457	DTX3	deltex E3 ubiquitin ligase 3	196403	196403	ENSG00000178498
HGNC:30323	DTX3L	deltex E3 ubiquitin ligase 3L	151636	151636	ENSG00000163840
HGNC:29151	DTX4	deltex E3 ubiquitin ligase 4	23220	23220	ENSG00000110042
HGNC:3061	DTYMK	deoxythymidylate kinase	1841	1841	ENSG00000168393
HGNC:48569	DUBR	DPPA2 upstream binding RNA	344595	344595	ENSG00000243701
HGNC:3062	DUOX1	dual oxidase 1	53905	53905	ENSG00000137857
HGNC:13273	DUOX2	dual oxidase 2	50506	50506	ENSG00000140279
HGNC:26507	DUOXA1	dual oxidase maturation factor 1	90527	90527	ENSG00000140254
HGNC:32698	DUOXA2	dual oxidase maturation factor 2	405753	405753	ENSG00000140274
HGNC:23481	DUPD1	dual specificity phosphatase and pro isomerase domain containing 1	338599	338599	ENSG00000188716
HGNC:3063	DURS1	Duane retraction syndrome 1		10674	
HGNC:13274	DURS2~withdrawn	symbol withdrawn, see CHN1			
HGNC:30086	DUS1L	dihydrouridine synthase 1 like	64118	64118	ENSG00000169718
HGNC:26014	DUS2	dihydrouridine synthase 2	54920	54920	ENSG00000167264
HGNC:26920	DUS3L	dihydrouridine synthase 3 like	56931	56931	ENSG00000141994
HGNC:21517	DUS4L	dihydrouridine synthase 4 like	11062	11062	ENSG00000105865
HGNC:3064	DUSP1	dual specificity phosphatase 1	1843	1843	ENSG00000120129
HGNC:3068	DUSP2	dual specificity phosphatase 2	1844	1844	ENSG00000158050
HGNC:3069	DUSP3	dual specificity phosphatase 3	1845	1845	ENSG00000108861
HGNC:3070	DUSP4	dual specificity phosphatase 4	1846	1846	ENSG00000120875
HGNC:3071	DUSP5	dual specificity phosphatase 5	1847	1847	ENSG00000138166
HGNC:32020	DUSP5P1	dual specificity phosphatase 5 pseudogene 1	574029	574029	ENSG00000183929
HGNC:44482	DUSP5P2	dual specificity phosphatase 5 pseudogene 2	643459	643459	ENSG00000235338
HGNC:3072	DUSP6	dual specificity phosphatase 6	1848	1848	ENSG00000139318
HGNC:3073	DUSP7	dual specificity phosphatase 7	1849	1849	ENSG00000164086
HGNC:3074	DUSP8	dual specificity phosphatase 8	1850	1850	ENSG00000184545
HGNC:3075	DUSP8P1	dual specificity phosphatase 8 pseudogene 1	728813		
HGNC:45001	DUSP8P2	dual specificity phosphatase 8 pseudogene 2	728725		
HGNC:3077	DUSP8P3	dual specificity phosphatase 8 pseudogene 3	441554	441554	ENSG00000215097
HGNC:45002	DUSP8P4	dual specificity phosphatase 8 pseudogene 4	728657	728657	ENSG00000215065
HGNC:45003	DUSP8P5	dual specificity phosphatase 8 pseudogene 5	106903081	106903081	ENSG00000235316
HGNC:3076	DUSP9	dual specificity phosphatase 9	1852	1852	ENSG00000130829
HGNC:3065	DUSP10	dual specificity phosphatase 10	11221	11221	ENSG00000143507
HGNC:3066	DUSP11	dual specificity phosphatase 11	8446	8446	ENSG00000144048
HGNC:3067	DUSP12	dual specificity phosphatase 12	11266	11266	ENSG00000081721
HGNC:49059	DUSP12P1	dual specificity phosphatase 12 pseudogene 1	100420473	100420473	ENSG00000277000
HGNC:19681	DUSP13	dual specificity phosphatase 13	51207	51207	ENSG00000079393
HGNC:17007	DUSP14	dual specificity phosphatase 14	11072	11072	ENSG00000276023
HGNC:16236	DUSP15	dual specificity phosphatase 15	128853	128853	ENSG00000149599
HGNC:17909	DUSP16	dual specificity phosphatase 16	80824	80824	ENSG00000111266
HGNC:18484	DUSP18	dual specificity phosphatase 18	150290	150290	ENSG00000167065
HGNC:18894	DUSP19	dual specificity phosphatase 19		142679	ENSG00000162999
HGNC:20476	DUSP21	dual specificity phosphatase 21	63904	63904	ENSG00000189037
HGNC:16077	DUSP22	dual specificity phosphatase 22	56940	56940	ENSG00000112679
HGNC:21480	DUSP23	dual specificity phosphatase 23	54935	54935	ENSG00000158716
HGNC:28161	DUSP26	dual specificity phosphatase 26	78986	78986	ENSG00000133878
HGNC:25034	DUSP27	dual specificity phosphatase 27, atypical	92235	92235	ENSG00000198842
HGNC:33237	DUSP28	dual specificity phosphatase 28	285193	285193	ENSG00000188542
HGNC:3078	DUT	deoxyuridine triphosphatase	1854	1854	ENSG00000128951
HGNC:31956	DUTP1	deoxyuridine triphosphatase pseudogene 1	548637	548637	ENSG00000229048
HGNC:39515	DUTP2	deoxyuridine triphosphatase pseudogene 2	100873909	100873909	ENSG00000254388
HGNC:39516	DUTP3	deoxyuridine triphosphatase pseudogene 3	100861485	100861485	ENSG00000226857
HGNC:39517	DUTP4	deoxyuridine triphosphatase pseudogene 4	100873910	100873910	ENSG00000229829
HGNC:39518	DUTP5	deoxyuridine triphosphatase pseudogene 5	100873911	100873911	ENSG00000216439
HGNC:39519	DUTP6	deoxyuridine triphosphatase pseudogene 6		100873912	ENSG00000225171
HGNC:39520	DUTP7	deoxyuridine triphosphatase pseudogene 7	100873913	100873913	ENSG00000250473
HGNC:39521	DUTP8	deoxyuridine triphosphatase pseudogene 8		100873914	ENSG00000214904
HGNC:3079	DUX1	double homeobox 1	26584	26584	
HGNC:3080	DUX2~withdrawn	symbol withdrawn, see DUX4L8			
HGNC:3081	DUX3	double homeobox 3	26582	26582	
HGNC:50800	DUX4	double homeobox 4	100288687	100288687	ENSG00000260596
HGNC:3082	DUX4L1	double homeobox 4 like 1	22947	22947	ENSG00000280757
HGNC:37267	DUX4L2	double homeobox 4 like 2	728410	728410	ENSG00000280457
HGNC:38688	DUX4L3	double homeobox 4 like 3	653548	653548	ENSG00000281627
HGNC:38686	DUX4L4	double homeobox 4 like 4	441056	441056	ENSG00000258834
HGNC:38689	DUX4L5	double homeobox 4 like 5	653545	653545	ENSG00000280799
HGNC:37265	DUX4L6	double homeobox 4 like 6	653544	653544	ENSG00000281058
HGNC:37266	DUX4L7	double homeobox 4 like 7	653543	653543	ENSG00000281652
HGNC:38670	DUX4L8	double homeobox 4 like 8	26583	26583	ENSG00000281720
HGNC:33855	DUX4L9	double homeobox 4 like 9	100288711	100288711	ENSG00000224807
HGNC:31354	DUX4L10	double homeobox 4 like 10	440013	440013	ENSG00000278664
HGNC:38687	DUX4L11	double homeobox 4 like 11	399839	399839	ENSG00000278761
HGNC:38671	DUX4L12	double homeobox 4 like 12	440014	440014	ENSG00000278790
HGNC:38672	DUX4L13	double homeobox 4 like 13	100289581	100289581	ENSG00000276046
HGNC:38673	DUX4L14	double homeobox 4 like 14	728022	728022	ENSG00000276904
HGNC:38674	DUX4L15	double homeobox 4 like 15	440017	440017	ENSG00000278641
HGNC:37719	DUX4L16	double homeobox 4 like 16	728169	728169	ENSG00000258567
HGNC:37717	DUX4L17	double homeobox 4 like 17	643001	643001	ENSG00000259154
HGNC:37716	DUX4L18	double homeobox 4 like 18	100132421	100132421	ENSG00000259029
HGNC:37718	DUX4L19	double homeobox 4 like 19	643034	643034	ENSG00000258991
HGNC:50801	DUX4L20	double homeobox 4 like 20	102723538	102723538	ENSG00000276164
HGNC:50802	DUX4L21	double homeobox 4 like 21	102723518	102723518	ENSG00000275610
HGNC:50803	DUX4L22	double homeobox 4 like 22	102723495	102723495	ENSG00000277274
HGNC:50804	DUX4L23	double homeobox 4 like 23	102723472	102723472	ENSG00000276964
HGNC:50805	DUX4L24	double homeobox 4 like 24	102723449	102723449	ENSG00000274599
HGNC:50806	DUX4L25	double homeobox 4 like 25	102723423	102723423	ENSG00000280337
HGNC:50807	DUX4L26	double homeobox 4 like 26	100996350	100996350	ENSG00000236138
HGNC:50808	DUX4L27	double homeobox 4 like 27	100131369	100131369	ENSG00000258794
HGNC:51605	DUX4L28	double homeobox 4 like 28		106481728	ENSG00000279626
HGNC:51606	DUX4L29	double homeobox 4 like 29		106481970	ENSG00000237635
HGNC:51770	DUX4L31	double homeobox 4 like 31 (pseudogene)	100887073	100887073	ENSG00000231411
HGNC:51771	DUX4L32	double homeobox 4 like 32 (pseudogene)	107075316	107075316	ENSG00000283069
HGNC:51789	DUX4L33	double homeobox 4 like 33 (pseudogene)	107080551	107080551	ENSG00000282894
HGNC:51772	DUX4L34	double homeobox 4 like 34 (pseudogene)	105379479	105379479	ENSG00000282935
HGNC:51773	DUX4L35	double homeobox 4 like 35 (pseudogene)	106632270	106632270	ENSG00000282911
HGNC:51774	DUX4L36	double homeobox 4 like 36 (pseudogene)		107080642	
HGNC:51775	DUX4L37	double homeobox 4 like 37 (pseudogene)	107080108	107080108	ENSG00000283020
HGNC:51776	DUX4L38	double homeobox 4 like 38 (pseudogene)		107080648	
HGNC:51777	DUX4L39	double homeobox 4 like 39 (pseudogene)		107080645	
HGNC:51778	DUX4L40	double homeobox 4 like 40 (pseudogene)		107080649	
HGNC:51779	DUX4L41	double homeobox 4 like 41 (pseudogene)		107080650	
HGNC:51780	DUX4L42	double homeobox 4 like 42 (pseudogene)		106660607	
HGNC:51781	DUX4L43	double homeobox 4 like 43 (pseudogene)		106660617	
HGNC:51782	DUX4L44	double homeobox 4 like 44 (pseudogene)		107080651	
HGNC:51783	DUX4L45	double homeobox 4 like 45 (pseudogene)	100887074	100887074	ENSG00000261440
HGNC:51784	DUX4L46	double homeobox 4 like 46 (pseudogene)		106480349	ENSG00000259987
HGNC:51785	DUX4L47	double homeobox 4 like 47 (pseudogene)		106481738	ENSG00000260207
HGNC:51786	DUX4L48	double homeobox 4 like 48 (pseudogene)		107105251	
HGNC:51787	DUX4L49	double homeobox 4 like 49 (pseudogene)		107105252	
HGNC:51788	DUX4L50	double homeobox 4 like 50 (pseudogene)		106480350	ENSG00000232815
HGNC:51810	DUX4L51	double homeobox 4 like 51 (pseudogene)		106481740	ENSG00000250482
HGNC:51811	DUX4L52	double homeobox 4 like 52 (pseudogene)		106480354	ENSG00000258336
HGNC:3083	DUX5	double homeobox 5	26581	26581	
HGNC:32179	DUXA	double homeobox A	503835	503835	ENSG00000258873
HGNC:32180	DUXAP1	double homeobox A pseudogene 1	503630	503630	ENSG00000259056
HGNC:32181	DUXAP2	double homeobox A pseudogene 2	503631	503631	ENSG00000254063
HGNC:32182	DUXAP3	double homeobox A pseudogene 3	503632	503632	ENSG00000270552
HGNC:32183	DUXAP4	double homeobox A pseudogene 4	503633	503633	ENSG00000270258
HGNC:32184	DUXAP5	double homeobox A pseudogene 5	503634	503634	ENSG00000255377
HGNC:32185	DUXAP6	double homeobox A pseudogene 6	503635	503635	ENSG00000258726
HGNC:32186	DUXAP7	double homeobox A pseudogene 7	503636	503636	ENSG00000232136
HGNC:32187	DUXAP8	double homeobox A pseudogene 8	503637	503637	
HGNC:32188	DUXAP9	double homeobox A pseudogene 9	503638	503638	ENSG00000225210
HGNC:32189	DUXAP10	double homeobox A pseudogene 10	503639	503639	
HGNC:51812	DUXAP11	double homeobox A pseudogene 11		106481741	ENSG00000270222
HGNC:51813	DUXAP12	double homeobox A pseudogene 12	100419081	100419081	
HGNC:33345	DUXB	double homeobox B	100033411	100033411	ENSG00000282757
HGNC:3084	DVL1	dishevelled segment polarity protein 1	1855	1855	ENSG00000107404
HGNC:3085	DVL1P1	dishevelled segment polarity protein 1 pseudogene 1	8215	8215	
HGNC:3086	DVL2	dishevelled segment polarity protein 2	1856	1856	ENSG00000004975
HGNC:3087	DVL3	dishevelled segment polarity protein 3	1857	1857	ENSG00000161202
HGNC:3088	DWS	dandy-walker syndrome	1858	1858	
HGNC:2992	DXO	decapping exoribonuclease	1797	1797	ENSG00000204348
HGNC:23460	DYDC1	DPY30 domain containing 1	143241	143241	ENSG00000170788
HGNC:23468	DYDC2	DPY30 domain containing 2	84332	84332	ENSG00000133665
HGNC:21317	DYM	dymeclin	54808	54808	ENSG00000141627
HGNC:26808	DYNAP	dynactin associated protein	284254	284254	ENSG00000178690
HGNC:2961	DYNC1H1	dynein cytoplasmic 1 heavy chain 1	1778	1778	ENSG00000197102
HGNC:2963	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1	1780	1780	ENSG00000158560
HGNC:2964	DYNC1I2	dynein cytoplasmic 1 intermediate chain 2	1781	1781	ENSG00000077380
HGNC:45012	DYNC1I2P1	dynein cytoplasmic 1 intermediate chain 2 pseudogene 1	728532	728532	ENSG00000225137
HGNC:18745	DYNC1LI1	dynein cytoplasmic 1 light intermediate chain 1	51143	51143	ENSG00000144635
HGNC:2966	DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2	1783	1783	ENSG00000135720
HGNC:2962	DYNC2H1	dynein cytoplasmic 2 heavy chain 1	79659	79659	ENSG00000187240
HGNC:24595	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1	51626	51626	ENSG00000138036
HGNC:15476	DYNLL1	dynein light chain LC8-type 1	8655	8655	ENSG00000088986
HGNC:20723	DYNLL1P1	dynein light chain LC8-type 1 pseudogene 1	246720	246720	ENSG00000205579
HGNC:20724	DYNLL1P2	dynein light chain LC8-type 1 pseudogene 2	731308	731308	ENSG00000258605
HGNC:49654	DYNLL1P3	dynein light chain LC8-type 1 pseudogene 3	391012	391012	ENSG00000235282
HGNC:49655	DYNLL1P4	dynein light chain LC8-type 1 pseudogene 4	100129739	100129739	ENSG00000257231
HGNC:49656	DYNLL1P5	dynein light chain LC8-type 1 pseudogene 5		106480681	ENSG00000242151
HGNC:49657	DYNLL1P6	dynein light chain LC8-type 1 pseudogene 6	100288885	100288885	ENSG00000248820
HGNC:49658	DYNLL1P7	dynein light chain LC8-type 1 pseudogene 7	729630	729630	ENSG00000230614
HGNC:24596	DYNLL2	dynein light chain LC8-type 2	140735	140735	ENSG00000264364
HGNC:15468	DYNLRB1	dynein light chain roadblock-type 1	83658	83658	ENSG00000125971
HGNC:15467	DYNLRB2	dynein light chain roadblock-type 2	83657	83657	ENSG00000168589
HGNC:11697	DYNLT1	dynein light chain Tctex-type 1	6993	6993	ENSG00000146425
HGNC:11694	DYNLT3	dynein light chain Tctex-type 3	6990	6990	ENSG00000165169
HGNC:16571	DYNLT3P1	dynein light chain Tctex-type 3 pseudogene 1	170554	170554	ENSG00000232241
HGNC:37081	DYNLT3P2	dynein light chain Tctex-type 3 pseudogene 2	100381215	100381215	ENSG00000229758
HGNC:3089	DYRK~withdrawn	symbol withdrawn, see DYRK1A			
HGNC:3090	DYRK1~withdrawn	symbol withdrawn, see DYRK1A			
HGNC:3091	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	1859	1859	ENSG00000157540
HGNC:14401	DYRK1AIP1	DYRK1A interacting protein 1	93980	93980	
HGNC:14459	DYRK1AIP2	DYRK1A interacting protein 2	93981	93981	
HGNC:14403	DYRK1AIP3~withdrawn	symbol withdrawn, see PHYHIP			
HGNC:3092	DYRK1B	dual specificity tyrosine phosphorylation regulated kinase 1B	9149	9149	ENSG00000105204
HGNC:3093	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	8445	8445	ENSG00000127334
HGNC:3094	DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3	8444	8444	ENSG00000143479
HGNC:3095	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4	8798	8798	ENSG00000010219
HGNC:3096	DYS~withdrawn	symbol withdrawn, see ELP1			
HGNC:3097	DYSF	dysferlin	8291	8291	ENSG00000135636
HGNC:3102	DYT2	dystonia 2, torsion (autosomal recessive)	1862	1862	
HGNC:3103	DYT3~withdrawn	symbol withdrawn, see TAF1			
HGNC:3104	DYT4~withdrawn	symbol withdrawn, see TUBB4A			
